UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,polarity,subjectivity
SkyNews,@SkyNews,2020-11-04T17:12:48.000Z,"Boris Johnson was seen walking out of the House of Commons as Theresa May launched a blistering attack on the government's handling of #coronavirus data.

Get more political news here: https://trib.al/vuZpXsw",344,868,2.4K,0.25,0.3
Bel Trew,@Beltrew,2020-11-04T18:43:20.000Z,"While everyone was distracted by #USElection - #Israel just carried out its largest demolition in a decade displacing dozens of Palestinians in the West Bank. More than 73 people, including 41 children, were made homeless despite the #Coronavirus pandemicLargest Israeli demolition in a decade displaces dozens of Palestinians in the West Bank
Most of those made homeless are children
independent.co.uk",46,1.3K,1.6K,0.5,0.5
SkyNews,@SkyNews,2020-11-05T09:48:57.000Z,"Police were met with jeers and chants as they attempted to disperse an illegal gathering in south Gloucestershire.

The organiser of the rave has been fined £10,000 for breaching #coronavirus regulations.

Latest on this story here: https://trib.al/B1mCSiP",23,16,43,0.0,0.7
People's Mojahedin Organization of Iran (PMOI/MEK),@Mojahedineng,2020-11-04T17:59:54.000Z,"More than 142,800 people have died of the novel #coronavirus in 462 cities checkered across all of #Iran's 31 provinces, according to the Iranian opposition PMOI/MEK.",1,87,83,0.5,0.5
Independent Books,@indybooks,2020-11-05T09:54:00.000Z,"Writer 
@MichaelRosenYes
 shuts down Piers Morgan’s son Spencer after #coronavirus misinformationMichael Rosen shuts down Piers Morgan's son after he compares coronavirus to flu
Former children’s laureate spent eight weeks in hospital with Covid-19 earlier this year
independent.co.uk",,4,33,-0.08222222222222224,0.23555555555555557
AFP news agency,@AFP,2020-11-05T04:03:26.000Z,"Last orders.

After downing a final round of drinks, queueing outside soon-to-close shops or getting a haircut, England's 56 million people enter a second #coronavirus lockdown with more doubts about the stringent policy than the first time around

http://u.afp.com/39Uj",9,90,155,0.07857142857142858,0.33571428571428574
World Economic Forum,@wef,2020-11-04T21:30:07.000Z,This is how different particles compare in size https://bit.ly/3mXdFa5 #AirPollution #coronavirus,6,97,261,0.0,0.6
Dr. Cyrus Shahpar,@CyrusShahpar,2020-11-04T17:42:41.000Z,"More than a million people have visited https://covidexitstrategy.org with thousands coming back more than 200 times each. Ideally, the federal government would provide this data so that we don't have to. Thanks to 
@rypan
 and the whole team for this collaborative effort. #coronavirusTracking Our COVID-19 Response - covidexitstrategy.org
Each state's progress towards a new normal
covidexitstrategy.org",1,42,152,0.32329545454545455,0.4630681818181818
Dejan,@Slavkovic_Dejan,2020-11-05T09:00:18.000Z,"If it's even possible to find a silver lining in the cloud of the #coronavirus pandemic, it would have to be... the #cloud. The sector is growing exponentially, and it looks like that acceleration might continue through 2021. 
@IoTNow_
 looks ahead. http://httpslink.com/5ba330740917",,,,0.0,1.0
Thickiana,@ImThick_,2020-11-04T18:03:24.000Z,"Due to #COVID19 aka #Coronavirus I will be helping the first 500 people that likes & retweet this $1,500-$5,000 through CashApp, Apple Pay, Venmo or Zelle 
 drop all tags in comments) 
#CashAppWisdom #GoVOTE2020",36,54,58,0.0625,0.35416666666666663
G CLARK CARTOONS,@retweetedart,2020-11-05T07:56:18.000Z,Missing you already #covid #coronavirus #lockdown,,,,-0.2,0.05
People's Mojahedin Organization of Iran (PMOI/MEK),@Mojahedineng,2020-11-04T19:05:43.000Z,"Over 142,800 people have died of the novel #coronavirus in 462 cities checkered across all of #Iran’s 31 provinces, according to reports tallied by the Iranian opposition PMOI/MEK as of Wednesday afternoon local time, November 4.Iran coronavirus update: Over 142,800 deaths, hospitals running low on key supplies | People's...
Reporting by PMOI/MEK Iran, November 4, 2020—Over 142,800 people have died of the novel coronavirus in 462 cities checkered across all of Iran’s 31 provinces, according to reports tallied by the...
english.mojahedin.org",1,48,49,0.0,0.43333333333333335
NCRI-FAC,@iran_policy,2020-11-04T20:04:18.000Z,"#Iran: #Coronavirus Death Toll Surpasses 142,800 in 462 Cities. #COVID19Iran: Coronavirus Death Toll Surpasses 142,800 in 462 Cities
Alireza Zali, head of the Coronavirus Combat Task Force: The virus momentum has increased in Tehran. With that, it would be better to lockdown Tehran for two weeks in order…
ncr-iran.org",1,30,27,0.5,0.5
M.Zahhad Khalid Awan,@MZahhad,2020-11-05T08:09:10.000Z,"#coronavirus
Plz Save your Self..",,,,0.0,0.0
Marlen Bond,@LNSFLRppp,2020-11-05T00:19:41.000Z,Rick and Morty predicted #coronavirus in 2017 #aprilfools,,,,0.0,0.0
Aviation Facts,@AirplaneCentral,2020-11-04T17:02:30.000Z,Amid Setbacks Caused By The #Coronavirus European Aircraft Manufacturer #Airbus Are Responding To The Crisis By Trialing The New A3. Mass Production Is Expected To Start In The Third Quarter Of 2021 With #SpiritAirlines Amongst The Many Airlines To Show A Keen Interest,1,4,36,0.10727272727272727,0.2709090909090909
Koffi Asante,@asante_koffi,2020-11-04T22:23:39.000Z,"Make you no infect oda pipo with #coronavirus. ibi crime. Make we all make Ghana safe. 
@Gyamfilee
 @GhanaCovid19",,,,0.5,0.5
Pete,@peteccowan,2020-11-05T00:28:29.000Z,"Well done Victoria! 
6 x 
  days! 
#coronavirus #Covid19VicData",,,,0.0,0.0
Raj Saha,@rajsahaofficial,2020-11-05T07:04:48.000Z,"#coronavirus 
 on 05/11/2020 at 12:00:00 AM",,,,0.0,0.0
Taheri Movement,@Taheri_Movement,2020-11-04T19:11:36.000Z,"Inhumane and Grim Conditions in #MahabadPrison
Recent reports indicate horrific health and hygienic conditions in Mahabad Prison. The #Coronavirus has plagued the prison and prisoners are at high risk of infection.
#COVID19",,59,65,-0.5479999999999999,0.738
Herry,@HerryNapit,2020-11-04T18:37:32.000Z,"Dear good people, 

I can't stand to look at these heartbreaking images, can you? 

Help save the children who are fighting the war, famine, and #coronavirus at the same time in #Yemen. 

Please save Yemen. #YemenCantWait",,3,3,0.35,0.36250000000000004
Current Breaking News Online,@CBNews_online,2020-11-04T18:35:40.000Z,"#Italy agrees curfew as Europe tries to stem #coronavirus surge
https://bit.ly/3mYxTQR",,,1,-0.1,0.4
Nancy H C Ward,@NancyHCWard,2020-11-04T18:08:55.000Z,"Missives of Hope
You can be the voice that guides others to #Jesus through your witness of how he works in your life. #coronavirus
#SharingYourCatholicFaithStory https://bit.ly/329HUCr",,,1,0.0,0.0
Suke,@sukemomo,2020-11-04T18:31:02.000Z,"Last updated: 2020-11-04 18:05:02+00:00GMT
  Coronavirus [COVID-19]
    Cases: 48172460
    Deaths: 1225280

#corona #coronavirus #COVID19",,,,0.0,0.06666666666666667
La Mosca de Pence,@mmtexas,2020-11-05T09:20:08.000Z,"When #Kelly mentioned not having #coronavirus...
#RHOCGIF",,,,0.0,0.0
The Daily Star,@dailystarnews,2020-11-05T09:49:07.000Z,"#Bangladesh govt has signed a memorandum of understanding with the Serum Institute of India to collect three crore shots of Covishield, the Indian version of Oxford-AtraZeneca's #coronavirus vaccine, once it is finally approved for human applicationCoronavirus vaccine: Govt signs MoU with Serum Institute of India
The government has signed a memorandum of understanding (MoU) with the Serum Institute of India (SII) to collect three crore shots of Covishield, the Indian version of Oxford-AtraZeneca’s coronavirus
thedailystar.net",,1,9,0.0,0.55
Lewis and Pixel the westies,@LewisPixel,2020-11-04T17:28:39.000Z,"With #coronavirus , #coneofshame is back 
@dog_rates
 @barked
 @9GAG",,,1,0.0,0.0
dolly kasongo,@9dc21470d41b434,2020-11-04T17:15:21.000Z,first  day out after recovering from #coronavirus,,,,0.25,0.3333333333333333
ousmane namewa,@NamewaOusmane,2020-11-04T18:34:00.000Z,"If you de find news on #coronavirus, make sure say na better source. No dey follow fake news.",,,,0.16666666666666666,0.7962962962962963
ATrain Education,@ATrainEducation,2020-11-04T19:01:30.000Z,"ALL NEW COURSE — ‘COVID-19 Pandemic: A World in Turmoil’— A comprehensive look at the pandemic, its origins, the spread of disease, and more. 10 CEUs #COVID19 #Coronavirus
http://ow.ly/Hp3A50C7rrp",,,,0.3181818181818182,0.4772727272727273
Suke,@sukemomo,2020-11-04T19:31:02.000Z,"Last updated: 2020-11-04 19:05:01+00:00GMT
  Coronavirus [COVID-19]
    Cases: 48203939
    Deaths: 1227002

#corona #coronavirus #COVID19",,,,0.0,0.06666666666666667
"Generation Z
❼",@GeenerationZ,2020-11-05T09:56:42.000Z,"Man fuck this year I just go corona
#coronavirus #COVID19GIF",,,,-0.4,0.6
Jon Sopel,@BBCJonSopel,2020-11-04T23:24:31.000Z,"Just a non #ElectionResults2020 thing. #coronavirus cases today in US hit 100k for first time, according to 
@washingtonpost",24,83,247,0.25,0.3333333333333333
penelopefage,@PenelopeFage,2020-11-04T20:22:45.000Z,"This is brilliant! 

#Christmas2020 #coronavirus #lockdown",,,,1.0,1.0
tomasz przechlewski,@tprzechlewski,2020-11-04T22:06:52.000Z,#coronavirus #COVID19 Data from http://ecdc.europa.eu,,,,0.0,0.0
Syed Maaz,@SyedmaazAnsar,2020-11-04T18:06:33.000Z,"Oh ho ho ho hooo this is 
#coronavirus #COVID19",,,,0.0,0.0
Suzanne Iasenza,@IasenzaSuzanne,2020-11-04T18:25:00.000Z,"Join us as we explore ways to help clients cope with issues of intimacy, romance, and sex amid the concerns and anxieties of the pandemic. #relationships #coronavirus

http://fiwny.org/workshops/dating-loving-in-the-time-of-covid-19/…",,,,0.0,0.0
NCRI-FAC,@iran_policy,2020-11-04T18:08:15.000Z,"Iran: The People’s Mojahedin Organization of Iran (PMOI / #MEK) announced this afternoon, Wednesday, November 4, 2020, that #Coronavirus has taken the lives of more than 142,800 in 462 cities across #Iran. #COVID19Iran: Coronavirus Update, Over 142,800 Deaths, November 4, 2020, 6:00 PM CET
NUMBER OF VICTIMS (AS OF November 4, 2020, 6:00 PM CEST): The People’s Mojahedin Organization of Iran (PMOI / MEK) announced this afternoon, Wedensday, November 4, 2020, that Coronavirus has…
ncr-iran.org",1,41,42,0.5,0.5
Saurabh Pathak,@saurabhtweeks,2020-11-05T04:58:49.000Z,"Marketing Level of Indians.
#Corona #coronavirus #rcvj",,,,0.0,0.0
Suke,@sukemomo,2020-11-04T17:31:03.000Z,"Last updated: 2020-11-04 17:05:01+00:00GMT
  Coronavirus [COVID-19]
    Cases: 48144402
    Deaths: 1224691

#corona #coronavirus #COVID19",,,,0.0,0.06666666666666667
Rise’nScribe,@RiseNscribe,2020-11-05T03:03:56.000Z,".
@RiseNscribe
 
Praying for new beginnings during this #coronavirus #pandemic",,,,0.13636363636363635,0.45454545454545453
tomasz przechlewski,@tprzechlewski,2020-11-04T22:06:50.000Z,#coronavirus #COVID19 Data from http://ecdc.europa.eu,,,,0.0,0.0
Dainik Bhramar,@DainikBhramar,2020-11-04T17:56:09.000Z,"Summary 
#coronavirus #nashik",,1,3,0.0,0.0
Rohit Mandal,@RohitMandalMR1,2020-11-05T06:21:42.000Z,"Government has taken up the speed of the #coronavirus  test rapidly.
#coronavirus",,,1,0.0,0.0
Sparrow Softwares,@sparrowsoft,2020-11-05T06:27:03.000Z,"Keep a distance of 6 feet or 2 meters.
#sparrowsoftwares #coronavirus",,,,0.0,0.0
Current Breaking News Online,@CBNews_online,2020-11-04T18:42:36.000Z,"Anger at second #coronavirus closing time for #English #pubs 
https://bit.ly/3erSeuP",,,,-0.2333333333333333,0.06666666666666667
PAKISTAN,@Pakistan_IFB,2020-11-04T18:22:26.000Z,"Where #coronavirus ?
Crowd of peoples in USA after election 2020...
Corona is just a drama...",,1,2,0.0,0.0
Suke,@sukemomo,2020-11-04T20:31:02.000Z,"Last updated: 2020-11-04 20:05:01+00:00GMT
  Coronavirus [COVID-19]
    Cases: 48252479
    Deaths: 1227723

#corona #coronavirus #COVID19",,,,0.0,0.06666666666666667
Johnny Spade,@WhatSpadeThinks,2020-11-04T20:00:09.000Z,"The #TrumpCrimeFamily has been working to undermine #MailInVoting for months. 
@realDonaldTrump
's hand picked stooge #LouisDeJoy has been hobbling the USPS daily, removing collection boxes, ""misplacing"" #MailInBallots. In addition to denying the science of #COVID19, Trump has ->",1,,2,0.0,0.0
Johnny Spade,@WhatSpadeThinks,2020-11-04T20:00:10.000Z,2)->worked to downplay & minimize the #coronavirus specifically to remove the impetus for #MailInVoting in the first place! If there isn't an out of control deadly contagious virus that causes people to avoid the polls and vote by mail then all of the legitimate mail-in ballots->,1,1,1,0.056249999999999994,0.3666666666666667
Courtney Johns,@CourtneyJohnsTV,2020-11-04T17:34:30.000Z,"#coronavirus
Nebraska is reporting 1,440 new cases. Here's a look at the latest data:
4 new deaths
660 total deaths
74,060 total cases
45,522 recovering",,1,,0.15454545454545454,0.6618181818181819
Lord Doa,@LordDoa,2020-11-05T02:01:42.000Z,"Yesterday was the election, I thought that meant #coronavirus was over... not hitting a record 108389 in a single day.",1,4,10,-0.07142857142857142,0.21428571428571427
Isabel Oakeshott,@IsabelOakeshott,2020-11-04T20:30:27.000Z,"Today 516 MPs voted to lock you up, criminalise you for  seeing family and friends, and destroy thousands of livelihoods. The dreadful consequences will be on their shoulders.",1.7K,1.4K,4.7K,-0.6,0.5
R1ch1e5,@R1ch1e5,2020-11-04T22:22:11.000Z,"516 MPs? That’s almost the number of #Coronavirus deaths today which is 492, but you probably never even bother to look at that do you?

#Covidiot",,13,43,0.0,0.0
